transcript_id,ERR5060645,ERR5060646
transcript:Os01t0654650-00,64,162
transcript:Os08t0345800-01,277475,258958
transcript:Os01t0625300-01,15,23
transcript:Os12t0174200-01,273,210
transcript:Os03t0419200-01,89,107
transcript:Os03t0221100-00,272,491
transcript:Os03t0370900-01,146,195
transcript:Os03t0370900-02,449,668
transcript:Os10t0487600-01,389,599
transcript:Os10t0487600-02,49,90
transcript:Os07t0175750-00,0,0
transcript:Os06t0218300-01,146,454
transcript:Os11t0209400-01,10,15
transcript:Os02t0681700-01,100,235
transcript:Os09t0442800-02,338,306
transcript:Os01t0705750-00,24,61
transcript:Os06t0149500-01,776,825
transcript:Os02t0813350-01,1671,1861
transcript:Os07t0194100-01,1080,1364
transcript:Os03t0401300-01,4778,9497
transcript:Os03t0700800-03,0,0
transcript:Os03t0700800-02,225,373
transcript:Os03t0700800-01,3064,5238
transcript:Os09t0422000-01,1224,2316
transcript:Os03t0401300-02,78,91
transcript:Os08t0117100-01,88,86
transcript:Os07t0419000-00,0,0
transcript:Os01t0296000-01,183,343
transcript:Os09t0299400-00,220,315
transcript:Os11t0604100-00,0,0
transcript:Os09t0433600-01,180,239
transcript:Os05t0469450-01,0,0
transcript:Os06t0149300-01,591,586
transcript:Os08t0110550-00,0,0
transcript:Os01t0123800-00,2,0
transcript:Os06t0119800-00,8,79
transcript:Os12t0500225-00,0,0
transcript:Os02t0217600-02,893,2295
transcript:Os02t0217600-01,222,191
transcript:Os07t0622900-01,408,846
transcript:Os02t0125600-00,75,122
transcript:Os04t0527700-01,119,210
transcript:Os12t0620000-00,342,593
transcript:Os02t0644900-01,0,13
transcript:Os02t0606000-01,1047,1254
transcript:Os03t0643611-00,1,4
transcript:Os09t0441700-00,0,20
transcript:Os11t0176100-01,724,1076
transcript:Os01t0914400-01,33,82
transcript:Os01t0105700-01,96,81
transcript:ENSRNA049472144-T1,1,1
transcript:Os05t0113500-04,3848,6181
transcript:Os05t0113500-05,30,47
transcript:ENSRNA049468413-T1,0,0
transcript:Os05t0113500-03,304,787
transcript:Os10t0461100-02,458,447
transcript:Os09t0407200-02,1,1
transcript:Os09t0407200-01,2328,2969
transcript:Os02t0174250-00,0,23
transcript:Os12t0583300-01,0,5
transcript:Os03t0839900-02,645,2087
transcript:Os03t0839900-01,828,639
transcript:Os10t0564300-01,2818,3487
transcript:Os07t0249800-01,317,348
transcript:Os08t0116400-01,2423,4210
transcript:Os01t0885000-02,55,53
transcript:Os01t0885000-01,1187,1663
transcript:Os08t0116400-02,0,0
transcript:Os01t0221700-00,59,102
transcript:Os04t0506500-00,0,3
transcript:Os11t0100800-01,2,23
transcript:Os06t0181700-01,0,21
