gene_id,ERR5060645,ERR5060646
gene:Os06g0303800,953,1777
gene:Os07g0605600,0,0
gene:Os12g0593300,0,0
gene:Os04g0663100,6161,7141
gene:Os06g0218900,19,90
gene:Os02g0192400,11095,11542
gene:Os03g0363800,452,541
gene:Os12g0288000,605,870
gene:Os07g0516050,186,272
gene:Os07g0117300,8,34
gene:Os12g0533500,1729,2701
gene:Os03g0749650,10,14
gene:Os03g0196500,27,169
gene:Os08g0484200,10,47
gene:Os04g0662850,13,5
gene:Os04g0650700,9883,13147
gene:Os11g0132100,7,4
gene:Os04g0451700,26,80
gene:Os10g0124100,1537,2508
gene:Os02g0516800,46,122
gene:Os02g0305700,712,1347
gene:Os06g0355500,1348,1574
gene:Os04g0625800,3587,5936
gene:Os05g0147600,17,11
gene:Os11g0581900,3158,4551
gene:Os01g0183950,0,8
gene:Os07g0586500,2241,4302
gene:Os09g0297400,2775,3810
gene:Os11g0202300,81,140
gene:Os02g0817600,3592,3736
gene:Os03g0627900,0,0
gene:Os01g0872700,7632,8662
gene:Os10g0360800,5,36
gene:Os04g0658400,0,1
gene:Os07g0686800,23,181
gene:Os04g0345400,0,9
gene:Os11g0425600,1762,3090
gene:Os05g0126150,6,6
gene:Os12g0517000,0,0
gene:Os12g0609800,1534,1673
gene:Os04g0463800,112,132
gene:Os04g0621650,4,17
gene:Os03g0756200,1680,2987
gene:Os02g0767200,166,405
gene:Os06g0192676,0,0
gene:Os08g0473900,67,1399
gene:Os02g0676500,132,148
gene:Os02g0190800,253,468
gene:Os12g0564701,4,9
gene:Os06g0699900,4834,6242
gene:Os02g0833000,3,0
gene:Os01g0209800,944,1433
gene:Os02g0815600,413,705
gene:Os03g0367000,2006,2814
gene:Os01g0317500,0,0
gene:Os06g0613101,0,0
gene:Os09g0313500,236,466
gene:Os02g0493200,78,336
gene:Os07g0673801,0,0
gene:Os04g0600300,65,417
gene:Os04g0653200,1540,2200
gene:Os04g0491500,89,103
gene:Os04g0620700,6160,6822
gene:Os03g0235700,288,435
gene:Os10g0171300,0,17
gene:Os07g0584900,2263,3982
gene:Os12g0591300,0,10
gene:Os02g0292800,0,16
gene:Os12g0138166,233,224
gene:Os02g0657600,157,244
gene:Os10g0493201,0,0
gene:Os03g0136900,4865,9786
gene:Os07g0674800,156,1020
gene:Os06g0300300,756,1532
gene:Os08g0105600,0,0
gene:Os12g0447466,0,0
gene:Os12g0607400,556,783
gene:Os08g0369400,207,227
gene:Os08g0113150,2,5
